Year,Month,Day,Concentration,DayOfWeek,Weekend
2009,9,4,46.78260869565217,5,0
2009,9,5,44.125,6,1
2009,9,6,38.17391304347826,0,1
2009,9,7,47.416666666666664,1,0
2009,9,8,54.40909090909091,2,0
2009,9,9,28.761904761904763,3,0
2009,9,10,36.130434782608695,4,0
2009,9,11,43.0,5,0
2009,9,12,47.47826086956522,6,1
2009,9,13,40.875,0,1
2009,9,14,32.34782608695652,1,0
2009,9,15,30.916666666666668,2,0
2009,9,16,29.52173913043478,3,0
2009,9,17,47.625,4,0
2009,9,18,41.47826086956522,5,0
2009,9,19,41.5,6,1
2009,9,20,50.17391304347826,0,1
2009,9,21,43.375,1,0
2009,9,22,41.95652173913044,2,0
2009,9,23,17.041666666666668,3,0
2009,9,24,19.304347826086957,4,0
2009,9,25,24.041666666666668,5,0
2009,9,26,30.130434782608695,6,1
2009,9,27,37.708333333333336,0,1
2009,9,28,27.08695652173913,1,0
2009,9,29,20.208333333333332,2,0
2009,9,30,15.956521739130435,3,0
2009,10,1,23.333333333333332,4,0
2009,10,2,18.217391304347824,5,0
2009,10,3,50.166666666666664,6,1
2009,10,4,42.95652173913044,0,1
2009,10,5,30.125,1,0
2009,10,6,23.130434782608695,2,0
2009,10,7,31.304347826086957,3,0
2009,10,8,35.130434782608695,4,0
2009,10,9,28.083333333333332,5,0
2009,10,10,36.43478260869565,6,1
2009,10,11,37.833333333333336,0,1
2009,10,12,43.52173913043478,1,0
2009,10,13,27.0,2,0
2009,10,14,22.416666666666668,3,0
2009,10,15,22.73913043478261,4,0
2009,10,16,31.375,5,0
2009,10,17,35.17391304347826,6,1
2009,10,18,22.833333333333332,0,1
2009,10,19,26.25,1,0
2009,10,20,20.708333333333332,2,0
2009,10,21,15.166666666666666,3,0
2009,10,22,9.625,4,0
2009,10,23,14.043478260869565,5,0
2009,10,24,27.25,6,1
2009,10,25,46.04347826086956,0,1
2009,10,26,36.73913043478261,1,0
2009,10,27,16.863636363636363,2,0
